Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
5634,1005,5768,GORĄCY BALON,2,90,34,90,47,13,0.22,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5635,1005,5769,RAKIETA  WODÓR,2,90,50,91,7,17,0.28,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5636,1005,5770,POCISK  SPRĘŻONE POWIETRZE,2,91,9,91,23,14,0.23,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5637,1005,5771,CHCĄ BYĆ PIĘKNI,2,91,30,95,33,243,4.05,1007,1007,,,,,,,,,1,4,1,,,2,z inną osobą,2,z innymi
5638,1005,5772,CZAR PAR,2,95,40,96,13,33,0.55,1007,1007,,,,,,,,,1,3,,1,A,2,z inną osobą,2,z innymi
5639,1005,5773,"JEST RYZYKO, JEST ZABAWA",2,96,14,96,42,28,0.47,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5640,1005,5774,MOWA JEST ZŁOTEM,2,96,58,97,21,23,0.38,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5641,1005,5775,FILM SPRZED RODZIN,2,97,28,97,32,4,0.07,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5642,1005,5776,DZIEWCZYNKA CZY CHŁOPIEC,2,97,48,98,36,48,0.8,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5643,1005,5777,PODAJ MI DŁOŃ,2,99,37,99,50,13,0.22,1007,1007,,,,,,,,,1,3,,1,"A, logowanie karty.",2,z inną osobą,2,z innymi
5644,1005,5778,LASEROWY PODSŁUCH,2,99,55,100,15,20,0.33,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5645,1005,5779,ROWER,2,100,28,100,35,7,0.12,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5646,1005,5780,PRALKA,2,100,38,100,52,14,0.23,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5647,1005,5781,SOCZEWKI,2,101,3,101,11,8,0.13,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5648,1005,5782,KĄT BREWSTERA,2,101,15,101,35,20,0.33,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5649,1005,5783,PERYSKOP,2,102,6,102,11,5,0.08,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5650,1005,5784,INNE,1,102,35,102,43,8,0.13,1007,1007,,,,,,,,,1,,,,,2,z inną osobą,2,z innymi
5651,1005,5785,MIESZANIE BARW CMY,2,102,48,102,58,10,0.17,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
