olimpiada;medal;olimpijczyk;rok_urodzenia;wiek;plec;dyscyplina;konkurencja
1972;B;Kwiecinski Czeslaw;1943;29;M;zapasy;82 - 90kg (light-heavyweight)
1972;Z;Lato Grzegorz;1950;22;M;pilka nozna;pilka nozna
1972;B;Lipien Kazimierz;1949;23;M;zapasy;57 - 62kg (featherweight)
1972;S;Lis Lucjan;1950;22;M;kolarstwo;team time trial
1972;Z;Lubanski Wlodzimierz;1947;25;M;pilka nozna;pilka nozna
1972;Z;Marx Joachim;1944;28;M;pilka nozna;pilka nozna
1972;Z;Maszczyk Zygmunt;1945;27;M;pilka nozna;pilka nozna
1972;Z;Ostafinski Marjan;1946;26;M;pilka nozna;pilka nozna
1972;S;Ozimek Norbert;1945;27;M;podnoszenie ciezarow;75 - 82.5kg, total (light-heavyweight)
1972;B;Piszcz Rafal Maciej;1940;32;M;kajakarstwo;K-2 1000m (kayak double)
1972;S;Rudkowski Wieslaw;1946;26;M;boks;67 - 71kg (light-middleweight)
1972;Z;Smalcerz Zygmunt;1941;31;M;podnoszenie ciezarow;- 52kg, total (flyweight)
1972;Z;Szczepanski Jan;1939;33;M;boks;57 - 60kg (lightweight)
1972;B;Szewinska Irena;1946;26;K;lekkoatletyka;200m
1972;Z;Szoltysik Zygfryd;1942;30;M;pilka nozna;pilka nozna
1972;S;Szozda Stanislaw;1950;22;M;kolarstwo;team time trial
1972;S;Szurkowski Ryszard;1946;26;M;kolarstwo;team time trial
1972;B;Szuszkiewicz Wladyslaw;1938;34;M;kajakarstwo;K-2 1000m (kayak double)
1972;S;Szydlowska Irena;1928;44;K;lucznictwo;individual FITA round
1972;Z;Szymanowski Antoni;1951;21;M;pilka nozna;pilka nozna
1972;Z;Szymczak Ryszard;1944;28;M;pilka nozna;pilka nozna
1972;Z;Woyda Witold;1939;33;M;szermierka;foil individual
1972;Z;Woyda Witold;1939;33;M;szermierka;foil team
1972;S;Zajkowski Antoni;1948;24;M;judo;63 - 70kg (half-middleweight)
1972;Z;Zapedzki Jozef;1929;43;M;strzelectwo;25m rapid fire pistol (60 shots)
1976;B;Antczak Zdzislaw;1947;29;M;pilka reczna;pilka reczna
1976;Z;Bebel Bronislaw;1949;27;M;siatkowka;siatkowka
1976;S;Beniger Jan;1950;26;M;pilka nozna;pilka nozna
1976;B;Blazynski Leszek;1949;27;M;boks;48 - 51kg (flyweight)
1976;Z;Bosek Ryszard;1950;26;M;siatkowka;siatkowka
1976;B;Brzozowski Janusz;1951;25;M;pilka reczna;pilka reczna
1976;B;Ciesla Piotr;1955;21;M;pilka reczna;pilka reczna
1976;S;Cmikiewicz Leslaw;1948;28;M;pilka nozna;pilka nozna
1976;B;Czarnecki Kazimierz;1948;28;M;podnoszenie ciezarow;60 - 67.5kg, total (lightweight)
1976;S;Cziura Grzegorz;1952;24;M;podnoszenie ciezarow;- 56kg, total (bantamweight)
1976;S;Deyna Kazimierz;1947;29;M;pilka nozna;pilka nozna
1976;B;Gawlikowski Wieslaw;1951;25;M;strzelectwo;skeet (125 targets)
1976;Z;Gawlowski Wieslaw;1950;26;M;siatkowka;siatkowka
1976;B;Gmyrek Jan;1951;25;M;pilka reczna;pilka reczna
1976;S;Gorgon Jerzy;1949;27;M;pilka nozna;pilka nozna
1976;B;Gortat Janusz;1948;28;M;boks;75 - 81kg (light-heavyweight)
1976;B;Greszkiewicz Jerzy;1950;26;M;strzelectwo;50m running target (30+30 shots)
1976;S;Gronowicz Andrzej;1951;25;M;kajakarstwo;C-2 500m (canoe double)
1976;S;Jaremski Zbigniew;1949;27;M;lekkoatletyka;4x400m relay
1976;B;Kaluzinski Alfred;1952;24;M;pilka reczna;pilka reczna
1976;Z;Karbarz Marek;1950;26;M;siatkowka;siatkowka
1976;S;Kasperczak Henryk;1946;30;M;pilka nozna;pilka nozna
1976;B;Klempel Jerzy;1953;23;M;pilka reczna;pilka reczna
1976;S;Kmiecik Kazimierz;1951;25;M;pilka nozna;pilka nozna
1976;B;Kosedowski Leszek;1954;22;M;boks;54 - 57kg (featherweight)
1976;B;Kuchta Zygfryd;1944;32;M;pilka reczna;pilka reczna
1976;B;Kwiecinski Czeslaw;1943;33;M;zapasy;82 - 90kg (light-heavyweight)
1976;Z;Lasko Lech;1956;20;M;siatkowka;siatkowka
1976;S;Lato Grzegorz;1950;26;M;pilka nozna;pilka nozna
1976;Z;Lipien Kazimierz;1949;27;M;zapasy;57 - 62kg (featherweight)
1976;Z;Lubiejewski Zbigniew;1949;27;M;siatkowka;siatkowka
1976;S;Malinowski Bronislaw;1951;25;M;lekkoatletyka;3000m steeplechase
1976;S;Maszczyk Zygmunt;1945;31;M;pilka nozna;pilka nozna
1976;B;Melcer Jerzy;1949;27;M;pilka reczna;pilka reczna
1976;S;Mowlik Piotr;1951;25;M;pilka nozna;pilka nozna
1976;S;Mytnik Tadeusz;1949;27;M;kolarstwo;team time trial
1976;B;Nowicki Mieczyslaw;1951;25;M;kolarstwo;individual road race
1976;S;Nowicki Mieczyslaw;1951;25;M;kolarstwo;team time trial
1976;S;Ogaza Roman;1952;24;M;pilka nozna;pilka nozna
1976;S;Opara Jerzy;1948;28;M;kajakarstwo;C-2 500m (canoe double)
1976;S;Pietrzyk Jerzy;1955;21;M;lekkoatletyka;4x400m relay
1976;S;Podlas Ryszard;1954;22;M;lekkoatletyka;4x400m relay
1976;B;Przybysz Ryszard;1950;26;M;pilka reczna;pilka reczna
1976;Z;Pyciak-Peciak Janusz;1949;27;M;piecioboj nowoczesny;Individual competition
1976;B;Rozmiarek Henryk;1949;27;M;pilka reczna;pilka reczna
1976;S;Rudy Wojciech;1952;24;M;pilka nozna;pilka nozna
1976;B;Rutkowski Tadeusz;1951;25;M;podnoszenie ciezarow;91 - 110kg, total (heavyweight)
1976;Z;Rybaczewski Miroslaw;1952;24;M;siatkowka;siatkowka
1976;Z;Rybicki Jerzy;1953;23;M;boks;67 - 71kg (light-middleweight)
1976;Z;Sadalski Wlodzimierz;1949;27;M;siatkowka;siatkowka
1976;Z;Skorek Edward;1943;33;M;siatkowka;siatkowka
1976;B;Skrzydlewski Andrzej;1946;30;M;zapasy;90 - 100kg (heavyweight)
1976;Z;Slusarski Tadeusz;1950;26;M;lekkoatletyka;pole vault
1976;B;Sokolowski Andrzej;1948;28;M;pilka reczna;pilka reczna
1976;Z;Stefanski Wlodzimierz;1949;27;M;siatkowka;siatkowka
1976;S;Szarmach Andrzej;1950;26;M;pilka nozna;pilka nozna
1976;B;Szczerba Kazimierz;1954;22;M;boks;60 - 63.5kg (light-welterweight)
1976;Z;Szewinska Irena;1946;30;K;lekkoatletyka;400m
1976;S;Szozda Stanislaw;1950;26;M;kolarstwo;team time trial
1976;S;Szurkowski Ryszard;1946;30;M;kolarstwo;team time trial
1976;S;Szymanowski Antoni;1951;25;M;pilka nozna;pilka nozna
1976;B;Szymczak Andrzej;1948;28;M;pilka reczna;pilka reczna
1976;B;Talaj Marian;1950;26;M;judo;63 - 70kg (half-middleweight)
1976;S;Tomaszewski Jan;1948;28;M;pilka nozna;pilka nozna
1976;S;Wawrowski Henryk;1949;27;M;pilka nozna;pilka nozna
1976;S;Werner Jan;1946;30;M;lekkoatletyka;4x400m relay
1976;S;Wieczorek Henryk;1949;27;M;pilka nozna;pilka nozna
1976;B;Wojczak Mieczyslaw;1951;25;M;pilka reczna;pilka reczna
1976;Z;Wojtowicz Tomasz;1953;23;M;siatkowka;siatkowka
1976;Z;Wszola Jacek;1956;20;M;lekkoatletyka;high jump
1976;Z;Zarzycki Zbigniew;1946;30;M;siatkowka;siatkowka
1976;B;Zielinski Wlodzimierz;1955;21;M;pilka reczna;pilka reczna
1976;S;Zmuda Wladyslaw;1954;22;M;pilka nozna;pilka nozna
1980;B;Adach Kazimierz;1957;23;M;boks;57 - 60kg (lightweight)
1980;S;Bierla Roman;1957;23;M;zapasy;90 - 100kg (heavyweight)
1980;S;Bobik Janusz;1955;25;M;jezdziectwo;team
1980;S;Chronowski Ludomir;1959;21;M;szermierka;épée team
1980;B;Cichon Aleksander;1958;22;M;zapasy;82 - 90kg (light-heavyweight)
1980;B;Czopek Agnieszka;1964;16;K;plywanie;400m individual medley
1980;B;Dembonczyk Tadeusz;1955;25;M;podnoszenie ciezarow;- 56kg, total (bantamweight)
1980;S;Dluzewska Malgorzata;1958;22;K;wioslarstwo;pair without coxswain (2-)
1980;S;Dolgowicz Jan;1954;26;M;zapasy;74 - 82kg (middleweight)
1980;S;Dunecki Leszek;1956;24;M;lekkoatletyka;4x100m relay
1980;S;Hartman Wieslaw;1950;30;M;jezdziectwo;team
1980;S;Jablkowski Piotr;1958;22;M;szermierka;épée team
1980;S;Kielan Urszula;1960;20;K;lekkoatletyka;high jump
1980;S;Koscianska Czeslawa;1959;21;K;wioslarstwo;pair without coxswain (2-)
1980;B;Kosedowski Krzysztof;1960;20;M;boks;54 - 57kg (featherweight)
1980;Z;Kowalczyk Jan;1941;39;M;jezdziectwo;individual
1980;S;Kowalczyk Jan;1941;39;M;jezdziectwo;team
1980;Z;Kozakiewicz Wladyslaw;1953;27;M;lekkoatletyka;pole vault
1980;S;Kozicki Marian;1941;39;M;jezdziectwo;team
1980;B;Koziejowski Lech;1949;31;M;szermierka;foil team
1980;B;Kubiak Ryszard;1950;30;M;wioslarstwo;four-oared shell with coxswain (4-)
1980;S;Lang Czes³aw;1955;25;M;kolarstwo;individual road race
1980;B;Langer Lucyna;1956;24;K;lekkoatletyka;100m hurdles
1980;S;Licznerski Zenon;1954;26;M;lekkoatletyka;4x100m relay
1980;S;Lipien Josef;1949;31;M;zapasy;52 - 57kg (bantamweight)
1980;S;Lis Andrzej;1959;21;M;szermierka;épée team
1980;Z;Malinowski Bronislaw;1951;29;M;lekkoatletyka;3000m steeplechase
1980;B;Nowak Grzegorz;1954;26;M;wioslarstwo;four-oared shell with coxswain (4-)
1980;B;Pawlowski Janusz;1959;21;M;judo;60 - 65kg (half-lightweight)
1980;B;Robak Adam;1957;23;M;szermierka;foil team
1980;B;Rutkowski Tadeusz;1951;29;M;podnoszenie ciezarow;+ 110kg, total (super heavyweight)
1980;B;Rybicki Jerzy;1953;27;M;boks;71-75kg
1980;B;Sandurski Adam;1953;27;M;zapasy;+ 100kg (super heavyweight)
1980;B;Seweryn Marek;1957;23;M;podnoszenie ciezarow;56 - 60kg, total (featherweight)
1980;S;Skrzecz Pawel;1957;23;M;boks;75 - 81kg (light-heavyweight)
1980;S;Slusarski Tadeusz;1950;30;M;lekkoatletyka;pole vault
1980;B;Stadniuk Ryszard;1951;29;M;wioslarstwo;four-oared shell with coxswain (4-)
1980;S;Stecyk Wladyslaw;1951;29;M;zapasy;48 - 52kg (flyweight)
1980;B;Stellak Grzegorz;1951;29;M;wioslarstwo;four-oared shell with coxswain (4-)
1980;S;Strzalka Mariusz;1959;21;M;szermierka;épée team
1980;S;Supron Andrzej;1952;28;M;zapasy;62 - 68kg (lightweight)
1980;S;Swornowski Leszek;1955;25;M;szermierka;épée team
1980;B;Sypniewski Marian;1955;25;M;szermierka;foil team
1980;B;Szczerba Kazimierz;1954;26;M;boks;63.5 - 67kg (welterweight)
1980;B;Tomasiak Adam;1953;27;M;wioslarstwo;four-oared shell with coxswain (4-)
