lata;miejsce;gmina;opis
2008-2010;378;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;588;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;527;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;721;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;558;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;240;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;598;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;529;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;1520;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;794;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;619;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;985;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;410;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;612;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;894;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;1527;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;1458;Bêdków;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;767;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;275;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;297;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;352;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;585;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;668;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;787;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;1235;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;1554;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;1569;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;1568;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;1514;Inow³ódz;Wydatki z œrodków w³asnych samorz¹dów
