olimpiada;dyscyplina;olimpijczyk;rok_urodzenia;plec;konkurencja;medal;druzyna;liczba_osob;wiek
1976;podnoszenie ciezarow;Cziura Grzegorz;1952;M;- 56kg, total (bantamweight);S;I;1;24
1976;pilka nozna;Deyna Kazimierz;1947;M;pilka nozna;S;T;17;29
1976;strzelectwo;Gawlikowski Wieslaw;1951;M;skeet (125 targets);B;I;1;25
1976;siatkowka;Gawlowski Wieslaw;1950;M;siatkowka;Z;T;12;26
1976;pilka reczna;Gmyrek Jan;1951;M;pilka reczna;B;T;14;25
1976;pilka nozna;Gorgon Jerzy;1949;M;pilka nozna;S;T;17;27
1976;boks;Gortat Janusz;1948;M;75 - 81kg (light-heavyweight);B;I;1;28
1976;strzelectwo;Greszkiewicz Jerzy;1950;M;50m running target (30+30 shots);B;I;1;26
1976;kajakarstwo;Gronowicz Andrzej;1951;M;C-2 500m (canoe double);S;T;2;25
1976;lekkoatletyka;Jaremski Zbigniew;1949;M;4x400m relay;S;T;4;27
1976;pilka reczna;Kaluzinski Alfred;1952;M;pilka reczna;B;T;14;24
1976;siatkowka;Karbarz Marek;1950;M;siatkowka;Z;T;12;26
1976;pilka nozna;Kasperczak Henryk;1946;M;pilka nozna;S;T;17;30
1976;pilka reczna;Klempel Jerzy;1953;M;pilka reczna;B;T;14;23
1976;pilka nozna;Kmiecik Kazimierz;1951;M;pilka nozna;S;T;17;25
1976;boks;Kosedowski Leszek;1954;M;54 - 57kg (featherweight);B;I;1;22
1976;pilka reczna;Kuchta Zygfryd;1944;M;pilka reczna;B;T;14;32
1976;zapasy;Kwiecinski Czeslaw;1943;M;82 - 90kg (light-heavyweight);B;I;1;33
1976;siatkowka;Lasko Lech;1956;M;siatkowka;Z;T;12;20
1976;pilka nozna;Lato Grzegorz;1950;M;pilka nozna;S;T;17;26
1976;zapasy;Lipien Kazimierz;1949;M;57 - 62kg (featherweight);Z;I;1;27
1976;siatkowka;Lubiejewski Zbigniew;1949;M;siatkowka;Z;T;12;27
1976;lekkoatletyka;Malinowski Bronislaw;1951;M;3000m steeplechase;S;I;1;25
1976;pilka nozna;Maszczyk Zygmunt;1945;M;pilka nozna;S;T;17;31
1976;pilka reczna;Melcer Jerzy;1949;M;pilka reczna;B;T;14;27
1976;pilka nozna;Mowlik Piotr;1951;M;pilka nozna;S;T;17;25
1976;kolarstwo;Mytnik Tadeusz;1949;M;team time trial;S;T;4;27
1976;kolarstwo;Nowicki Mieczyslaw;1951;M;individual road race;B;I;1;25
1976;kolarstwo;Nowicki Mieczyslaw;1951;M;team time trial;S;T;4;25
1976;pilka nozna;Ogaza Roman;1952;M;pilka nozna;S;T;17;24
1976;kajakarstwo;Opara Jerzy;1948;M;C-2 500m (canoe double);S;T;2;28
1976;lekkoatletyka;Pietrzyk Jerzy;1955;M;4x400m relay;S;T;4;21
1976;lekkoatletyka;Podlas Ryszard;1954;M;4x400m relay;S;T;4;22
1976;pilka reczna;Przybysz Ryszard;1950;M;pilka reczna;B;T;14;26
1976;piecioboj nowoczesny;Pyciak-Peciak Janusz;1949;M;Individual competition;Z;I;1;27
1976;pilka reczna;Rozmiarek Henryk;1949;M;pilka reczna;B;T;14;27
1976;pilka nozna;Rudy Wojciech;1952;M;pilka nozna;S;T;17;24
1976;podnoszenie ciezarow;Rutkowski Tadeusz;1951;M;91 - 110kg, total (heavyweight);B;I;1;25
1976;siatkowka;Rybaczewski Miroslaw;1952;M;siatkowka;Z;T;12;24
1976;boks;Rybicki Jerzy;1953;M;67 - 71kg (light-middleweight);Z;I;1;23
1976;siatkowka;Sadalski Wlodzimierz;1949;M;siatkowka;Z;T;12;27
1976;siatkowka;Skorek Edward;1943;M;siatkowka;Z;T;12;33
1976;zapasy;Skrzydlewski Andrzej;1946;M;90 - 100kg (heavyweight);B;I;1;30
1976;lekkoatletyka;Slusarski Tadeusz;1950;M;pole vault;Z;I;1;26
1976;pilka reczna;Sokolowski Andrzej;1948;M;pilka reczna;B;T;14;28
1976;siatkowka;Stefanski Wlodzimierz;1949;M;siatkowka;Z;T;12;27
1976;pilka nozna;Szarmach Andrzej;1950;M;pilka nozna;S;T;17;26
1976;boks;Szczerba Kazimierz;1954;M;60 - 63.5kg (light-welterweight);B;I;1;22
1976;lekkoatletyka;Szewinska Irena;1946;K;400m;Z;I;1;30
1976;kolarstwo;Szozda Stanislaw;1950;M;team time trial;S;T;4;26
1976;kolarstwo;Szurkowski Ryszard;1946;M;team time trial;S;T;4;30
1976;pilka nozna;Szymanowski Antoni;1951;M;pilka nozna;S;T;17;25
1976;pilka reczna;Szymczak Andrzej;1948;M;pilka reczna;B;T;14;28
1976;judo;Talaj Marian;1950;M;63 - 70kg (half-middleweight);B;I;1;26
1976;pilka nozna;Tomaszewski Jan;1948;M;pilka nozna;S;T;17;28
1976;pilka nozna;Wawrowski Henryk;1949;M;pilka nozna;S;T;17;27
1976;lekkoatletyka;Werner Jan;1946;M;4x400m relay;S;T;4;30
1976;pilka nozna;Wieczorek Henryk;1949;M;pilka nozna;S;T;17;27
1976;pilka reczna;Wojczak Mieczyslaw;1951;M;pilka reczna;B;T;14;25
1976;siatkowka;Wojtowicz Tomasz;1953;M;siatkowka;Z;T;12;23
1976;lekkoatletyka;Wszola Jacek;1956;M;high jump;Z;I;1;20
1976;siatkowka;Zarzycki Zbigniew;1946;M;siatkowka;Z;T;12;30
1976;pilka reczna;Zielinski Wlodzimierz;1955;M;pilka reczna;B;T;14;21
1976;pilka nozna;Zmuda Wladyslaw;1954;M;pilka nozna;S;T;17;22
1980;boks;Adach Kazimierz;1957;M;57 - 60kg (lightweight);B;I;1;23
1980;zapasy;Bierla Roman;1957;M;90 - 100kg (heavyweight);S;I;1;23
1980;jezdziectwo;Bobik Janusz;1955;M;team;S;T;4;25
1980;szermierka;Chronowski Ludomir;1959;M;épée team;S;T;5;21
1980;zapasy;Cichon Aleksander;1958;M;82 - 90kg (light-heavyweight);B;I;1;22
1980;plywanie;Czopek Agnieszka;1964;K;400m individual medley;B;I;1;16
1980;podnoszenie ciezarow;Dembonczyk Tadeusz;1955;M;- 56kg, total (bantamweight);B;I;1;25
1980;wioslarstwo;Dluzewska Malgorzata;1958;K;pair without coxswain (2-);S;T;2;22
1980;zapasy;Dolgowicz Jan;1954;M;74 - 82kg (middleweight);S;I;1;26
1980;lekkoatletyka;Dunecki Leszek;1956;M;4x100m relay;S;T;4;24
1980;jezdziectwo;Hartman Wieslaw;1950;M;team;S;T;4;30
1980;szermierka;Jablkowski Piotr;1958;M;épée team;S;T;5;22
1980;lekkoatletyka;Kielan Urszula;1960;K;high jump;S;I;1;20
