"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"261" 261 13 0 0 3 13 "Za" 1
"262" 262 0 13 0 3 13 "Przeciw" 1
"263" 263 14 0 0 2 14 "Za" 1
"264" 264 14 0 0 2 14 "Za" 1
"265" 265 14 0 0 2 14 "Za" 1
"266" 266 14 0 0 2 14 "Za" 1
"267" 267 14 0 0 2 14 "Za" 1
"268" 268 14 0 0 2 14 "Za" 1
"269" 269 14 0 0 2 14 "Za" 1
"270" 270 14 0 0 2 14 "Za" 1
"271" 271 14 0 0 2 14 "Za" 1
"272" 272 14 0 0 2 14 "Za" 1
"273" 273 0 14 0 2 14 "Przeciw" 1
"274" 274 14 0 0 2 14 "Za" 1
"275" 275 0 14 0 2 14 "Przeciw" 1
"276" 276 13 0 0 3 13 "Za" 1
"277" 277 8 0 0 8 8 "Za" 1
"278" 278 0 14 0 2 14 "Przeciw" 1
"279" 279 15 0 0 1 15 "Za" 1
"280" 280 0 0 15 1 15 "Wstrzyma³ siê" 1
"281" 281 0 15 0 1 15 "Przeciw" 1
"282" 282 15 0 0 1 15 "Za" 1
"283" 283 4 10 1 1 15 "Przeciw" 0.67
"284" 284 15 0 0 1 15 "Za" 1
"285" 285 15 0 0 1 15 "Za" 1
"286" 286 0 14 1 1 15 "Przeciw" 0.93
"287" 287 15 0 0 1 15 "Za" 1
"288" 288 14 0 0 2 14 "Za" 1
"289" 289 14 0 1 1 15 "Za" 0.93
"290" 290 0 15 0 1 15 "Przeciw" 1
"291" 291 3 12 0 1 15 "Przeciw" 0.8
"292" 292 15 0 0 1 15 "Za" 1
"293" 293 0 14 1 1 15 "Przeciw" 0.93
"294" 294 0 0 15 1 15 "Wstrzyma³ siê" 1
"295" 295 15 0 0 1 15 "Za" 1
"296" 296 0 15 0 1 15 "Przeciw" 1
"297" 297 0 15 0 1 15 "Przeciw" 1
"298" 298 0 15 0 1 15 "Przeciw" 1
"299" 299 15 0 0 1 15 "Za" 1
"300" 300 15 0 0 1 15 "Za" 1
"301" 301 3 0 12 1 15 "Wstrzyma³ siê" 0.8
"302" 302 15 0 0 1 15 "Za" 1
"303" 303 0 15 0 1 15 "Przeciw" 1
"304" 304 15 0 0 1 15 "Za" 1
"305" 305 0 0 15 1 15 "Wstrzyma³ siê" 1
"306" 306 0 15 0 1 15 "Przeciw" 1
"307" 307 0 1 14 1 15 "Wstrzyma³ siê" 0.93
"308" 308 15 0 0 1 15 "Za" 1
"309" 309 14 1 0 1 15 "Za" 0.93
"310" 310 15 0 0 1 15 "Za" 1
"311" 311 14 0 0 2 14 "Za" 1
"312" 312 3 0 12 1 15 "Wstrzyma³ siê" 0.8
"313" 313 0 15 0 1 15 "Przeciw" 1
"314" 314 15 0 0 1 15 "Za" 1
"315" 315 0 12 0 4 12 "Przeciw" 1
"316" 316 0 12 0 4 12 "Przeciw" 1
"317" 317 0 12 0 4 12 "Przeciw" 1
"318" 318 0 12 0 4 12 "Przeciw" 1
"319" 319 0 12 0 4 12 "Przeciw" 1
"320" 320 0 16 0 0 16 "Przeciw" 1
"321" 321 16 0 0 0 16 "Za" 1
"322" 322 16 0 0 0 16 "Za" 1
"323" 323 16 0 0 0 16 "Za" 1
"324" 324 15 0 0 1 15 "Za" 1
"325" 325 16 0 0 0 16 "Za" 1
"326" 326 16 0 0 0 16 "Za" 1
"327" 327 0 16 0 0 16 "Przeciw" 1
"328" 328 0 16 0 0 16 "Przeciw" 1
"329" 329 0 16 0 0 16 "Przeciw" 1
"330" 330 16 0 0 0 16 "Za" 1
"331" 331 0 16 0 0 16 "Przeciw" 1
"332" 332 0 16 0 0 16 "Przeciw" 1
"333" 333 2 14 0 0 16 "Przeciw" 0.88
"334" 334 16 0 0 0 16 "Za" 1
"335" 335 16 0 0 0 16 "Za" 1
"336" 336 16 0 0 0 16 "Za" 1
"337" 337 16 0 0 0 16 "Za" 1
"338" 338 16 0 0 0 16 "Za" 1
"339" 339 16 0 0 0 16 "Za" 1
"340" 340 16 0 0 0 16 "Za" 1
"341" 341 16 0 0 0 16 "Za" 1
"342" 342 16 0 0 0 16 "Za" 1
"343" 343 16 0 0 0 16 "Za" 1
